UGS,CATEGORIE,PRODUIT,PRIX
4710300100028,FRAME,FRAME ''471M3'' 85 TC       2014,"787,5"
47103002000,FRAME,SUB FRAME,"198,45"
0934080003,FRAME,ECROU H DIN 934,"0,65"
54606004000,FRAME,BOUCHON DE CADRE 94,"1,8"
54310086200,FRAME,ECROU PEDALE FREIN,"0,65"
47103013100,FRAME,REINFORCING,"4,8"
0025080356,FRAME,Vis Epaulement M8x35,"2,25"
78103002010,FRAME,SUB FRAME APPLICATION LEFT,"5,75"
78103002020,FRAME,SUB FRAME APPLICATION RIGHT,"5,75"
59001037000,FRAME,VIS SPECIALE GUIDON 2000,"1,65"
54310086100,FRAME,ECROU AUTOBLOQUANT,"0,6"
0019080206S,FRAME,FLAT HEAD SCREW M. ISA45 M8X20,"2,4"
47003013000,FRAME,VIS FIXATION MOTEUR 85 SX,"4,8"
58111076000,FRAME,CABLE SUPPORT,2
47103040033,FRAME,FOOTREST  CPL.              14,"56,45"
47103040000,FRAME,FOOTREST L/S,"22,05"
47103041000,FRAME,FOOTREST R/S,"22,05"
54603041000,FRAME,RESSORT,"2,2"
54803044000,FRAME,AXE REPOSE PIED 03,"6,3"
0125100003,FRAME,RONDELLE DIN125,"0,6"
0094032253,FRAME,GOUPILLE REPOSE PIED 93,"0,5"
51103053000,FRAME,PATIN CHAINE INF 125 STING,"8,1"
36003014000,FRAME,RONDELLE DIAMETRE 8,"0,45"
0025080306,FRAME,Vis Epaulement M8x30,"2,25"
51103053051,FRAME,ENTRETOISE PATIN CHAINE STING,"2,45"
50307012000,FRAME,FILM ADHESIF TRANSP.80X80MM 04,"1,2"
51103053110,FRAME,Guide chaine inf. 50SX / 85SX,"8,1"
