"ID","UGS","MODELE","PRODUIT","PRIX"
1,"05187M0501","85 TC 2014","FOURCHE WP ",910
2,"59030029000","85 TC 2014","ECROU VILO PAS A DROITE 400/52","9,3"
3,"47101034114","85 TC 2014","TOP TRIPLE CLAMP","113,4"
4,"47101032114","85 TC 2014","BOTTOM TRIPLE CLAMP CPL.","144,9"
5,"49001081000","85 TC 2014","ROULEMENT CONIQUE","12,3"
6,"0025080256","85 TC 2014","HH COLLAR SCREW M8X25","2,25"
7,"77201038000","85 TC 2014","PINCE DE GUIDON 28MM","13,4"
8,"0025080306S","85 TC 2014","AH-VIS COLLIER M10X35 ISA45 ","2,55"
9,"5940103903730","85 TC 2014","HANDLEB.SUPP. D=28MM H=37MM","24,75"
10,"0025080306S","85 TC 2014","HH COLLAR SCREW M8X30     TX40","2,55"
11,"49001086000","85 TC 2014","COUVERCLE","2,4"
12,"0770021300","85 TC 2014","JOINT O","0,95"
13,"46001086000","85 TC 2014","BAGUE DE PROTECTION 20,1X39X5","4,9"
14,"0770360030","85 TC 2014","JOINT TORIQUE","0,95"
15,"0025080206","85 TC 2014","HH VIS COLLIER M8X20","2,25"
16,"0017060206","85 TC 2014","VIS F. PLASTIQUE K60X20AL  SW6","1,15"
17,"47101085000DA","85 TC 2014","
PINCE POUR TUYAU DE FREIN JAUNE","4,95"
18,"59001092050","85 TC 2014","VIS PLASTIQUE DE FOURCHE 2000","0,9"
98,"00050000931","85 TC 2014","TÊTE DE DIRECTION REP. KIT MINI","29,3"
99,"00050000921","85 TC 2014","KIT DE SUPPORT DE GUIDON D28/H37","60,75"
