item_marque,item_cylindre,item_model,item_anne,item_plaquetteav,item_plaquettearr
HUSABERG,125,TE,2012,BRE07BB0483,BRE07BB27SD
HUSABERG,125,TE,2013,BRE07BB0483,BRE07BB27SD
HUSABERG,125,TE,2014,BRE07BB0483,BRE07BB27SD
HUSABERG,250,TE,2011,BRE07BB0483,BRE07BB27SD
HUSABERG,250,TE,2012,BRE07BB0483,BRE07BB27SD
HUSABERG,250,TE,2013,BRE07BB0483,BRE07BB27SD
HUSABERG,250,TE,2014,BRE07BB0483,BRE07BB27SD
HUSABERG,300,TE,2011,BRE07BB0483,BRE07BB27SD
HUSABERG,300,TE,2012,BRE07BB0483,BRE07BB27SD
HUSABERG,300,TE,2013,BRE07BB0483,BRE07BB27SD
HUSABERG,300,TE,2014,BRE07BB0483,BRE07BB27SD
HUSABERG,350,FE,2013,BRE07BB0483,BRE07BB27SD
HUSABERG,350,FE,2014,BRE07BB0483,BRE07BB27SD
HUSABERG,390,FE,2010,BRE07BB0483,BRE07BB27SD
HUSABERG,390,FE,2011,BRE07BB0483,BRE07BB27SD
HUSABERG,390,FE,2012,BRE07BB0483,BRE07BB27SD
HUSABERG,450,FE,2009,BRE07BB04SD,BRE07BB27SD
HUSABERG,450,FE,2010,BRE07BB04SD,BRE07BB27SD
HUSABERG,450,FE,2011,BRE07BB04SD,BRE07BB27SD
HUSABERG,450,FE,2012,BRE07BB04SD,BRE07BB27SD
HUSABERG,450,FE,2013,BRE07BB04SD,BRE07BB27SD
HUSABERG,501,FE,2013,BRE07BB0483,
HUSABERG,501,FE,2014,BRE07BB0483,
HUSABERG,570,FE,2009,BRE07BB0483,BRE07BB27SD
HUSABERG,570,FE,2010,BRE07BB0483,BRE07BB27SD
HUSABERG,570,FE,2011,BRE07BB0483,BRE07BB27SD
HUSABERG,570,FE,2012,BRE07BB0483,BRE07BB27SD
HUSABERG,570,FS,2010,BRE07GR76SX,BRE07BB27SD
HUSABERG,570,FS,2011,BRE07GR76SX,BRE07BB27SD
HUSABERG,650,FS C SUPERMOTARD,2005,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS C SUPERMOTARD,2006,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS C SUPERMOTARD,2007,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS C SUPERMOTARD,2008,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS E SUPERMOTARD,2005,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS E SUPERMOTARD,2006,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS E SUPERMOTARD,2007,BRE07GR75SA,BRE07BB0235
HUSABERG,650,FS E SUPERMOTARD,2008,BRE07GR75SA,BRE07BB0235
HUSQVARNA,50,TC,2017,BRE07GR70SD,BRE07GR70SD
HUSQVARNA,50,TC,2018,BRE07GR70SD,BRE07GR70SD
HUSQVARNA,50,TC,2019,BRE07GR70SD,BRE07GR70SD
HUSQVARNA,65,CR,2011,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,65,CR,2012,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,65,CR,2013,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,65,TC,2017,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,65,TC,2018,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,65,TC,2019,BRE07GR69SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2014,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2015,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2016,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2017,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2018,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 17/14,2019,BRE07GR20SX,BRE07GR16SD
HUSQVARNA,85,TC 19/16,2014,BRE07GR20SX,BRE07GR16SD
