UGS,CATEGORIE,PRODUIT,PRIX,TAG,ORDER MENU,DESCRIPTION
45230000333,ENGINE CASE 50 TC 2020,ENGINE CASE CPL. 50SX,588,1,1,1
45230039000,ENGINE CASE 50 TC 2020,ENGINE CASE GASKET,"12,25",2,2,1
58030021000,ENGINE CASE 50 TC 2020,BOUCHON VIDANGE 94,"6,1",3,3,1
58038022000,ENGINE CASE 50 TC 2020,"JOINT DIN7603-12X18X1,5","0,85",4,4,1
46230024000,ENGINE CASE 50 TC 2020,"DOWEL  12X9X14,5","2,55",5,5,2
58330023000,ENGINE CASE 50 TC 2020,BAGUE CENTRAGE JOINT CULASSE 9,"2,85",6,6,1
46230023000,ENGINE CASE 50 TC 2020,"DOWEL 10X8,2X10","2,25",7,7,2
46030043000,ENGINE CASE 50 TC 2020,GOUJON AVT CYLINDRE 60SX 8X41,"2,05",8,8,4
58336020190,ENGINE CASE 50 TC 2020,PRISE DE DEPRESSION M6/3MM '97,"2,25",9,9,1
45230017000,ENGINE CASE 50 TC 2020,BEARING BRACKET,"1,75",10,10,1
0019050106S,ENGINE CASE 50 TC 2020,HEX LOBE COUNTERSUNC SCREW M5X10 - 10.9,"1,3",11,11,2
45230060000,ENGINE CASE 50 TC 2020,CHAIN GUARD,"10,2",12,12,1
0025060356,ENGINE CASE 50 TC 2020,HH COLLAR SCREW M6X35 TX30,"1,15",13,13,3
0325080200,ENGINE CASE 50 TC 2020,CYLINDER STUD DIN6325 8X20 M6,"0,8",14,14,1
0025060556,ENGINE CASE 50 TC 2020,HH COLLAR SCREW M6X55 TX30,"1,3",15,15,2
0025060306,ENGINE CASE 50 TC 2020,Vis 6 pans Epaulement M6x30,"1,15",16,16,6
0025060406,ENGINE CASE 50 TC 2020,Vis Epaulement 6 pans M6x40,"1,15",17,17,3
31007007101,ENGINE CASE 50 TC 2020,PVC-TUYAU 4 X 6 MM,"2,35",18,18,0
45230089000,ENGINE CASE 50 TC 2020,"YDNAC-CLAMP 10068 (6,8MM)","0,5",19,19,1
45230099000,ENGINE CASE 50 TC 2020,GASKET SET 50 SX          2009,"77,9",20,20,1
0025060206,ENGINE CASE 50 TC 2020,HH COLLAR SCREW M6X20 TX30,"1,15",21,21,1
45230024000,ENGINE CASE 50 TC 2020,"DOWEL 9,8X7X5.5","1,65",22,22,2
0025080356S,ENGINE CASE 50 TC 2020,HH COLLAR SCREW M8X35     TX40,"2,55",23,23,1
0472035150,ENGINE CASE 50 TC 2020,CIRCLIP DIN0472-35X1,"0,95",24,24,1
0603061001,ENGINE CASE 50 TC 2020,JOINT CUIVRE DIN7603- 6X10X1,"0,85",25,25,1
0025060086,ENGINE CASE 50 TC 2020,HH COLLAR SCREW M6X8 TX30,"1,15",26,26,1
