UGS,CATEGORIE,PRODUIT,PRIX,TAG,ORDER MENU,DESCRIPTION
45239006100,IGNITION 50 TC 2020,IGNITION COIL,"64,7",1,1,1
0025060126S-6,IGNITION 50 TC 2020,HEX COLLAR SCREW M6X12 ISA30 SELF-LOCKIN,"1,3",2,2,2
0025060306S-6,IGNITION 50 TC 2020,HH COLLAR SCREW M6X30 TX30,"1,3",3,3,4
45239060050-6,IGNITION 50 TC 2020,"COLLAR BUSHING 6,3X8X13X9,5","2,4",4,4,2
45239010000-6,IGNITION 50 TC 2020,IGNIT. COIL RETAIN. PLATE CPL.,"14,2",5,5,1
31008060000-6,IGNITION 50 TC 2020,GAINE,"1,9",6,6,2
46239090000,IGNITION 50 TC 2020,Anti parasite - 50/65SX 09-12,"8,05",7,7,1
45239093000,IGNITION 50 TC 2020,Bougie LR8B - 50/65SX 09-12,"12,6",8,8,1
0770012030,IGNITION 50 TC 2020,"O-RING 12,00X3,0 VITON 75","1,9",9,9,1
45139005100,IGNITION 50 TC 2020,ROTOR 50                    04,"33,45",10,10,1
0888025030,IGNITION 50 TC 2020,CLAVETTE VOLANT 50 SX,"0,6",11,11,1
45132020000,IGNITION 50 TC 2020,"CLAPET 10,4X16,8X0,40","0,85",12,12,1
58414030000-6,IGNITION 50 TC 2020,ECROU DE TENDEUR 2000,"1,1",13,13,1
45139004000,IGNITION 50 TC 2020,STATOR  50CCM LC          2001,"61,15",14,14,1
0012050253S,IGNITION 50 TC 2020,Vis cylindrique DIN 6912 - M5x25 SS,"0,95",15,15,2
45230024000-6,IGNITION 50 TC 2020,"DOWEL 9,8X7X5.5","1,65",16,16,2
45230602000,IGNITION 50 TC 2020,IGNITION COVER,"50,4",17,17,1
0025060206-7,IGNITION 50 TC 2020,HH COLLAR SCREW M6X20 TX30,"1,15",19,19,1
